V1,V2,V3
1,-1.635629355,-4.743318566
1,-1.340700096,-4.891568137
1,0.244503209,-0.771327031
1,0.406656735,-0.09028117
1,0.364241683,1.25004483
1,0.532996661,0.554822809
1,1.823985482,2.209590561
1,0.435640107,1.746569907
1,0.601741868,1.905213719
1,0.11817173,0.962735277
1,2.228435082,1.888583049
1,1.049244972,-0.092481992
1,3.012598855,4.013735987
1,2.507604969,0.71488248
1,1.673783054,1.458275588
1,2.408237786,1.79736305
1,1.454801491,1.515842737
1,1.053810007,1.081897266
1,1.345771749,0.621281959
1,0.456596584,-1.562061903
1,1.375620209,-1.174573655
1,1.670922608,-0.757763512
1,-0.639015231,-2.449097944
1,0.930662334,-1.644210107
1,0.911718653,0.659464023
1,1.718205458,0.930380843
1,0.896573556,-0.926935826
1,-0.472199253,-2.409827884
1,-1.699739818,-2.494894516
1,-1.850432667,-2.842702453
1,-2.518951608,-3.152220282
1,-1.181889044,-0.197740746
1,-1.803609253,-0.529978043
1,-1.103892519,-0.443087351
1,-1.773923649,-2.616429777
1,-0.520678263,-0.990628478
1,-1.125398989,-1.831709632
1,-2.619071492,-3.874597128
1,-2.63744176,-2.989370493
1,-1.479070895,-1.974268646
1,-1.271226659,-2.159811244
1,-1.250796592,-1.747799785
1,-1.023441981,-2.650733921
1,-2.591083619,-4.530192705
1,-1.984806556,-2.983629096
1,-2.731373498,-5.033012065
1,-0.546181313,-1.461479429
1,9.86469E-06,-1.195962773
1,0.593578113,-0.247518071
1,1.177726945,1.142636862
1,1.804646755,2.265453097
1,3.884782002,6.682607958
1,1.921831288,3.137481324
1,1.652476441,3.22696173
1,0.426504149,1.121053049
1,-1.810577686,-0.972666375
1,-2.749558264,-0.477005912
1,-3.26250286,-0.254665071
1,-4.709528227,-1.317766628
1,-3.402585535,-0.590322148
1,-3.614376071,-2.313476768
1,-3.064728616,0.357305424
1,-0.62329056,3.146054386
1,-1.51838137,0.540302361
1,0.621603242,3.551439714
1,-0.223303278,1.392628504
1,0.500814247,0.715992008
1,2.065696122,4.803842133
1,1.359895071,3.38605639
1,0.10865628,2.320934102
1,0.536367504,3.101306857
1,-0.882108341,1.479506472
1,0.710803277,2.481235473
1,1.823995004,3.412249488
1,2.06679078,3.443321065
1,3.102280647,4.574756413
1,2.638938555,2.529958423
1,2.679606674,1.536322577
1,3.08185503,2.05710501
1,2.133660675,2.756519887
1,1.796270024,2.153048359
1,1.96702303,0.524141013
1,0.538126886,-0.001424683
1,0.004164779,-0.413817929
1,-0.385067472,-2.71975363
1,0.068322662,-0.764310223
1,1.154615801,-0.119325167
1,1.481741451,-0.735291955
1,0.237895152,-1.153181728
1,1.634823865,0.206864676
1,1.118449992,-0.867113703
1,1.46068815,1.994334933
1,1.332922249,2.264803739
1,1.732373761,1.969839551
1,1.664886702,0.797612979
1,0.986091261,1.298134199
1,1.140155788,1.210062629
1,2.284510373,-0.361230599
1,1.637947325,-1.061237133
1,1.669913553,-1.314489156
1,1.776619993,0.409696642
1,1.077155671,0.463232645
1,1.026716674,-0.163344269
1,1.530385935,0.05323975
1,-1.571366704,-3.323054386
1,-1.109401015,-1.944021613
1,0.040456666,-1.471325473
1,0.485482138,0.193675462
1,0.172382044,-1.939518018
1,-0.733931792,-2.622306669
1,0.087665703,-2.329638839
1,0.207736754,-1.591365481
1,-0.305075938,-3.202619465
1,0.421428023,-3.048178269
1,-0.114012397,-2.491601798
1,2.790757435,1.081968888
1,0.652286003,0.137749162
1,1.679218247,0.358447
1,2.514269078,1.04942175
1,2.405494507,2.78061745
1,1.349017574,1.972620081
1,0.569582722,-0.823792081
1,0.999535874,0.628398592
1,1.772066529,1.729936957
1,2.230782731,2.028946732
1,0.626734102,-0.961757195
1,0.694238656,-0.461731772
1,-0.238465511,-1.554337013
1,-0.364593261,-0.388155593
